dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,xr_ds,windows
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1628504424703,76
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.44244874136688,76
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.19826413992193,77
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.51010654970738,77
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.15483832018049,77
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.48888165917239,77
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.21987005895181,78
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.45882468287789,78
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.15234481744689,78
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.49237874779777,78
