dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,xr_ds,windows,sample
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26259463533333,-97,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.16492921231028,-97,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.30101448978169,-61,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.2027315857948,-61,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.32241092064984,-60,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.2300062183701,-60,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28325185286962,-59,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17866385642344,-59,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.32789425022723,-58,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20464559740365,-58,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.31413827673291,-57,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.23472259018371,-57,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28840153014037,-56,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.22116397566062,-56,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.31443768127171,-55,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.2352407918138,-55,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.30621639890372,-54,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20732223989891,-54,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.30995694155577,-53,CPD 120 min.
